자치구,법정동,시작일,종료일,상태,계열,지정방식,면적기준_㎡,구역면적_㎢,공고건수,근거공고
서초구,염곡동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,2.31,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
서초구,우면동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,5.95,1,시보20240808_p4-7
서초구,우면동,2025-01-01,2025-03-23,불명,,,,,0,
서초구,우면동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,25.46,1,시보20250319_p3-8
서초구,우면동,2025-10-01,2026-08-17,불명,,,,,0,
서초구,우면동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,2.31,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
서초구,원지동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,5.95,1,시보20240808_p4-7
서초구,원지동,2025-01-01,2025-03-23,불명,,,,,0,
서초구,원지동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,25.46,1,시보20250319_p3-8
서초구,원지동,2025-10-01,2026-08-17,불명,,,,,0,
서초구,원지동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,2.31,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
서초구,잠원동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,25.46,1,시보20250319_p3-8
성동구,금호동1가,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.23,1,시보20240905_p3-79
성동구,금호동4가,2021-04-04,2025-04-03,지정,공공재개발|신속통합기획|정비사업후보지,일부,18→6,0.030706,4,시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342
성동구,마장동,2022-01-02,2024-01-01,지정,정비사업후보지,일부,18,0.018749,2,시보20211228_p17-40|시보20221223_p7-30
성동구,마장동,2024-01-02,2024-09-09,불명,,,,,0,
성동구,마장동,2024-09-10,2029-09-09,지정,공공재개발|모아타운|신속통합기획|정비사업후보지|주요재건축단지,혼합,6,0.23,2,시보20240905_p3-79|시보20241218_p364-437
성동구,사근동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,2,시보20221230_p179-233
성동구,사근동,2024-01-04,2024-09-09,불명,,,,,0,
성동구,사근동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.23,1,시보20240905_p3-79
성동구,성수동1가,2021-04-27,2026-04-26,지정,모아타운|신속통합기획|정비사업후보지|주요재건축단지,동전체,18→6,0.530399,5,시보20210422_p253-257|시보20220420_p356-360|시보20230419_p263-267|시보20240418_p342-346|시보20250409_p451-469
성동구,성수동2가,2021-04-27,2026-04-26,지정,모아타운|신속통합기획|정비사업후보지|주요재건축단지,동전체,18→6,0.530399,5,시보20210422_p253-257|시보20220420_p356-360|시보20230419_p263-267|시보20240418_p342-346|시보20250409_p451-469
성동구,송정동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.23,1,시보20240905_p3-79
성동구,행당동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,1,시보20221230_p179-233
성동구,행당동,2024-01-04,2024-09-09,불명,,,,,0,
성동구,행당동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.23,1,시보20240905_p3-79
성북구,돈암동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.3,2,시보20240905_p3-79|시보20240925_p538-545
성북구,삼선동1가,2022-01-29,2024-01-03,지정,미분류|정비사업후보지|주요재건축단지,일부,18,0.0447,2,시보20220124_p7-53|시보20221230_p179-233
성북구,석관동,2022-01-29,2024-01-03,지정,미분류|정비사업후보지|주요재건축단지,일부,18,0.061649,2,시보20220124_p7-53|시보20221230_p179-233
성북구,석관동,2024-01-04,2024-09-09,불명,,,,,0,
성북구,석관동,2024-09-10,2031-08-10,지정,공공재개발|모아타운|신속통합기획|정비사업후보지|주요재건축단지,혼합,6,0.3,2,시보20240905_p3-79|시보20260805_p377-447
성북구,성북동,2021-04-04,2026-01-28,지정,공공재개발|국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,혼합,18→6→60→6,5.31,7,시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20231220_p249-307|시보20240320_p339-342|시보20240808_p4-7|시보20241
성북구,성북동,2026-01-29,2026-08-17,불명,,,,,0,
성북구,성북동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,5.45,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
성북구,장위동,2021-04-04,2025-04-03,지정,공공재개발|신속통합기획|정비사업후보지,일부,18→6,0.116402,8,시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342
